V4 Class,V4 Parent Class,V4 Attribute,V5 Class,V5 Parent Class ,V5 Attribute,Domain
Expansion,Fittings,*,PipingExpansion,PipingFitting,*,PIP
Extracted Document Workset,Workset object,*,No Mapping,,*,
Extracted Drawing Sheet,Sheet,*,No Mapping,,*,
Extracted Drawing Workset,Extracted Document Workset,*,No Mapping,,*,
Face on Free Edge,Face on Free Edge Type,*,No Mapping,,*,
Face on Free Edge Type,Generic Group    Object,*,No Mapping,,*,
Face Type,Generic Group    Object,*,No Mapping,,*,
Fan,Compressor,*,EquipFan,EquipAirHandler,*,EQT
Filter Function,Piping Function Part,*,PipingFilterFunc_Sample,PipingPartFunc,*,PIP
Fittings,Piping Part,*,PipingFitting,PipingPart,*,PIP
Fixture,Static Equipment Component,*,EquipFixture,EquipMechanical,*,EQT
Flange,Flanges,*,PipingNonReduceFlange,PipingFlange,*,PIP
Flanges,Piping Part,*,No Mapping,,*,
Flat Oval Duct,Duct,*,HVACFltOvlStDuct,HVACFltOvlDuct,*,HVA
Flat Oval Duct,Duct,Height,HVACFltOvlStDuct,HVACFltOvlDuct,Height,HVA
Flat Oval Duct,Duct,Width,HVACFltOvlStDuct,HVACFltOvlDuct,Width,HVA
Floor Plate,Planar Plate,*,No Mapping,,*,
Fluidic Branch Connection,Fluidic Connection,*,No Mapping,,*,
Fluidic Branch Connection,Fluidic Connection,*,No Mapping,,*,
Fluidic Branch Connection,Fluidic Connection,Branch Table Name,No Mapping,,,
Fluidic Connection,Physical Connection,*,No Mapping,,*,
Fluidic Connector,Physical Connector,*,No Mapping,,*,
Form Graphic,Generic Graphic  Object,*,No Mapping,,*,
Free Edge,Limit,*,No Mapping,,*,
Free Network,Conveyor Network,*,No Mapping,,*,
Free Turn,Horizontal Turn,*,No Mapping,,*,
Function Block Function,Instrument Function Part,*,InstrBlockFunc_Sample,InstrPartFunc,*,INS
Function Block Function,Instrument Function Part,Function algorithm,No Mapping,,*,
Functional Connection,Generic Connectn Object,*,No Mapping,,*,
Functional Part,Generic Part     Object,*,No Mapping,,*,
Functional Skin,Generic Skin     Object,*,No Mapping,,*,
Functional String,Generic String   Object,*,No Mapping,,*,
Furnace,Static Equipment Component,*,EquipFurnace,EquipHeatingCooling,*,EQT
Furnace Function,Equipment Function Part,*,EquipFurnaceFunc_Sample,EquipFunc,*,EQT
Furnace Function,Equipment Function Part,Capacity,EquipFurnaceFunc_Sample,EquipFunc,Capacity,EQT
Furnace Function,Equipment Function Part,Commodity Type,No Mapping,,,
Furnace Function,Equipment Function Part,Flow Rate,EquipFurnaceFunc_Sample,EquipFunc,FlowRate,EQT
Furnace Function,Equipment Function Part,Heat Exchanged,EquipFurnaceFunc_Sample,EquipFunc,HeatExchanged,EQT
Furnace Function,Equipment Function Part,Pressure,No Mapping,,,
Furnace Function,Equipment Function Part,Process Description,No Mapping,,,
Furnace Function,Equipment Function Part,Temperature,No Mapping,,,
Gas Turbine,Mechanical Equipment Component,*,EquipGasTurbine,EquipDriver,*,EQT
Gas|Diesel Engine,Mechanical Equipment Component,*,EquipGasDieselEngine,EquipDriver,*,EQT
Gasket,Piping Part,*,PipingGasket,PipingPart,*,PIP
Gasket,Piping Part,Compressed Thickness,PipingGasket,PipingPart,Thickness,PIP
Gate Valve,Valve,*,PipingGateValve,PipingValve,*,PIP
Generic Bag      Object,None,*,No Mapping,,*,
Generic Bag      Object,None,Identifier Label,No Mapping,,,
Generic Bag      Object,None,Sequence Number,No Mapping,,,
Generic Connectn Object,None,*,No Mapping,,*,
Generic Connectn Object,None,Identifier Label,No Mapping,,,
Generic Connectn Object,None,Sequence Number,No Mapping,,,
Generic Connectr Object,None,*,No Mapping,,*,
Generic Connectr Object,None,Flow Capability,No Mapping,,,
Generic Connectr Object,None,Flow Reality,No Mapping,,,
Generic Connectr Object,None,Identifier Label,No Mapping,,,
Generic Connectr Object,None,Sequence Number,No Mapping,,,
Generic Graphic  Object,None,*,No Mapping,,*,
Generic Graphic  Object,None,Identifier Label,No Mapping,,,
Generic Graphic  Object,None,Sequence Number,No Mapping,,,
Generic Group    Object,None,*,No Mapping,,*,
Generic Group    Object,None,Identifier Label,No Mapping,,,
Generic Group    Object,None,Sequence Number,No Mapping,,,
Generic Node     Object,None,*,No Mapping,,*,
Generic Node     Object,None,Identifier Label,No Mapping,,,
Generic Node     Object,None,Sequence Number,No Mapping,,,
Generic Part     Object,None,*,No Mapping,,*,
Generic Part     Object,None,Identifier Label,No Mapping,,,
Generic Part     Object,None,Sequence Number,No Mapping,,,
Generic Segment  Object,None,*,No Mapping,,*,
Generic Segment  Object,None,Identifier Label,No Mapping,,,
Generic Segment  Object,None,Sequence Number,No Mapping,,,
Generic Skin     Object,None,*,No Mapping,,*,
Generic Skin     Object,None,Identifier Label,No Mapping,,,
Generic Skin     Object,None,Sequence Number,No Mapping,,,
Generic Space    Object,None,*,No Mapping,,*,
Generic Space    Object,None,Identifier Label,No Mapping,,,
Generic Space    Object,None,Sequence Number,No Mapping,,,
Generic String   Object,None,*,No Mapping,,*,
Generic String   Object,None,Identifier Label,No Mapping,,,
Generic String   Object,None,Sequence Number,No Mapping,,,
Geographic Reference Axis Graphic,Axis Graphic,*,No Mapping,,,
Geographical Reference Axis of Project,Generic Space    Object,*,No Mapping,,,
Globe Valve,Valve,*,PipingGlobeValve,PipingValve,*,PIP
Grating,Structural Planar-Type,*,No Mapping,,*,
Grouping Graphic,Generic Graphic  Object,*,No Mapping,,*,
Guide Curve Connection,Master-Slave Connection,*,No Mapping,,*,
Gusset Plate,Structural Planar-Type,*,No Mapping,,*,
Half Coupling,Branches,*,PipingHalfCoupling,PipingBranch,*,PIP
Half Coupling,Branches,Center to Branch##1,No Mapping,,,
Half Coupling,Branches,Center to Branch##2,No Mapping,,,
Half Coupling,Branches,Center to Branch##3,No Mapping,,,
Half Coupling,Branches,Center to Branch##4,No Mapping,,,
Half Coupling,Branches,Center to Face##1,No Mapping,,,
Half Coupling,Branches,Center to Face##2,No Mapping,,,
Half Coupling,Branches,Center to Face##3,No Mapping,,,
Half Coupling,Branches,Center to Face##4,No Mapping,,,
Half Coupling,Branches,End Diameter##1,No Mapping,,,
Half Coupling,Branches,End Diameter##2,No Mapping,,,
Half Coupling,Branches,End Diameter##3,No Mapping,,,
Half Coupling,Branches,End Diameter##4,No Mapping,,,
Half Coupling,Branches,End Offset##1,No Mapping,,,
Half Coupling,Branches,End Offset##2,No Mapping,,,
Half Coupling,Branches,End Offset##3,No Mapping,,,
Half Coupling,Branches,End Offset##4,No Mapping,,,
Half Coupling,Branches,End Thickness##1,No Mapping,,,
Half Coupling,Branches,End Thickness##2,No Mapping,,,
Half Coupling,Branches,End Thickness##3,No Mapping,,,
Half Coupling,Branches,End Thickness##4,No Mapping,,,
Half Coupling,Branches,Face to Face##1,No Mapping,,,
Half Coupling,Branches,Face to Face##2,No Mapping,,,
Half Coupling,Branches,Face to Face##3,No Mapping,,,
Half Coupling,Branches,Face to Face##4,No Mapping,,,
Half Coupling,Branches,Nominal Size##1,PipingPart,Physical_Product,NominalSize,PIP
Half Coupling,Branches,Nominal Size##2,PipingPart,Physical_Product,NominalSize2,PIP
Half Coupling,Branches,Nominal Size##3,PipingPart,Physical_Product,NominalSize3,PIP
Half Coupling,Branches,Nominal Size##4,PipingPart,Physical_Product,NominalSize4,PIP
Half Coupling,Branches,OD1##1,PipingPart,Physical_Product,OutsideDiameter,PIP
Half Coupling,Branches,OD1##2,PipingPart,Physical_Product,OutsideDiameter2,PIP
Half Coupling,Branches,OD1##3,PipingPart,Physical_Product,OutsideDiameter3,PIP
Half Coupling,Branches,OD1##4,PipingPart,Physical_Product,OutsideDiameter4,PIP
Half Coupling,Branches,OD2##1,No Mapping,,,
Half Coupling,Branches,OD2##2,No Mapping,,,
Half Coupling,Branches,OD2##3,No Mapping,,,
Half Coupling,Branches,OD2##4,No Mapping,,,
Half Height Location Connection,Master-Slave Connection,*,No Mapping,,*,
H-Brace,Structural Member-Type,*,No Mapping,,*,
Heat Exchanger,Static Equipment Component,*,EquipHeatExchanger,EquipHeatingCooling,*,EQT
Heat Exchanger Function,Equipment Function Part,*,EquipHeatExchFunc_Sample,EquipFunc,*,EQT
Heat Exchanger Function,Equipment Function Part,Capacity,EquipHeatExchFunc_Sample,EquipFunc,Capacity,EQT
Heat Exchanger Function,Equipment Function Part,Commodity Type,No Mapping,,,
Heat Exchanger Function,Equipment Function Part,Flow Rate,EquipHeatExchFunc_Sample,EquipFunc,FlowRate,EQT
Heat Exchanger Function,Equipment Function Part,Heat Exchanged,EquipHeatExchFunc_Sample,EquipFunc,HeatExchanged,EQT
Heat Exchanger Function,Equipment Function Part,Pressure,No Mapping,,,
Heat Exchanger Function,Equipment Function Part,Process Description,No Mapping,,,
Heat Exchanger Function,Equipment Function Part,Temperature,No Mapping,,,
Heat-Tracing Zone,Zone,*,No Mapping,,*,
Heat-Tracing Zone,Zone,Heat Tracing,No Mapping,,,
Heat-Tracing Zone,Zone,Zone Description,No Mapping,,,
Heat-Tracing Zone,Zone,Zone Name,No Mapping,,,
Hole location and section,Master-Slave Connection,*,No Mapping,,*,
Horizontal Turn,Conveyor Part,*,No Mapping,,*,
Hull Form,Physical Skin,*,No Mapping,,*,
Hull Form Intersection,Physical Part,*,No Mapping,,*,
Hull Form Type,Generic Group    Object,*,No Mapping,,*,
Hull Reference Connection,Master-Slave Connection,*,No Mapping,,*,
Hull Steelwork 2D Drawing Extraction Graphics,Generic Graphic  Object,*,No Mapping,,*,
Hull Steelwork 2D Drawing Extraction Graphics,None,*,No Mapping,,*,
Hull Steelwork Plate Type,Structural Planar Type,*,No Mapping,,*,
Hull Steelwork Profile Type,Structural Member Type,*,No Mapping,,*,
HVAC Equipment Function,Equipment Function Part,*,No Mapping,,*,
HVAC Function Part,Process Function Part,*,No Mapping,,*,
I Shape,Structural Member,*,No Mapping,,*,
I&C Line,Line-String,*,InstrICLineFunc,String_Function,*,INS
I&C Line,Line-String,I&C Signal Medium,InstrICLineFunc,String_Function,SignalMedium,INS
I&C Loop,Logical Line,*,InstrICLoop,Logical_Line,*,INS
I&C Loop,Logical Line,I&C Loop Description,No Mapping,,,
I&C Loop,Logical Line,I&C Loop Process Variable,InstrICLoop,Logical_Line,ProcessVariable,INS
I&C Loop,Logical Line,I&C Signal Medium,InstrICLoop,Logical_Line,SignalMedium,INS
I&C Loop,Logical Line,Set Point,No Mapping,,,
I&C Loop,Logical Line,Unit Number,No Mapping,,,
Incompatibility Connection,Fluidic Connection,*,No Mapping,,*,
Incompatibility Connection,Fluidic Connection,Specification attribute name,No Mapping,,,
Indicator Function,Instrument Function Part,*,InstrIndicatorFunc_Sample,InstrPartFunc,*,INS
In-Line Drive,Drive,*,No Mapping,,,
In-line Instrument,Piping Part,*,PipingInLineInstrt,PipingPart,*,PIP
In-line Instrument Function,Piping Function Part,*,PipingInlineInstrFunc,PipingPartFunc,*,PIP
In-line Instrument Function,Piping Function Part,Instrument Functional Identifier,No Mapping,,,
In-line Instrument Function,Piping Function Part,Instrument Service,No Mapping,,,
Insert,Reducing Joint,*,PipingReducingInsert,PipingFitting,*,PIP
Instrument Branch Connection,Instrument Connection,*,No Mapping,,*,
Instrument Connection,Physical Connection,*,No Mapping,,*,
Instrument Connector,Physical Connector,*,No Mapping,,*,
Instrument Function Part,Process Function Part,*,InstrPartFunc,Component_Function,*,INS
Instrument Function Part,Process Function Part,Heat Tracing,No Mapping,,,
Instrument Function Part,Process Function Part,Instrument Functional Identifier,InstrPartFunc,Component_Function,InstrumentFuncIdentifier,INS
Instrument Function Part,Process Function Part,Instrument Location,InstrPartFunc,Component_Function,InstrumentLocation,INS
Instrument Function Part,Process Function Part,Instrument Service,No Mapping,,,
Instrument Function Part,Process Function Part,Insulation Spec Name,No Mapping,,,
Instrument Function Part,Process Function Part,Insulation Thickness,No Mapping,,*,
Instrument Function Part,Process Function Part,Unit Number,No Mapping,,,
Instrument Nozzle,Nozzle,*,No Mapping,,*,
Instrument Piping Connector,Instrument Connector,*,No Mapping,,*,
Instrument Piping Connector,Instrument Connector,Description,No Mapping,,,
Instrument Piping Connector,Instrument Connector,Tag ID,No Mapping,,,
Instrument Piping Connector,Instrument Connector,Type,No Mapping,,,
Insulation,Bounded Group,*,No Mapping,,*,
Insulation Graphic,Generic Graphic  Object,*,No Mapping,,*,
Insulation Specification Zone,Zone,*,No Mapping,,*,
Insulation Specification Zone,Zone,Insulation Spec Name,No Mapping,,,
Insulation Specification Zone,Zone,Zone Description,No Mapping,,,
Insulation Specification Zone,Zone,Zone Name,No Mapping,,,
Inversion Plane,Physical Skin,*,No Mapping,,*,
Inversion Plane Connection,Master-Slave Connection,*,No Mapping,,*,
ISO Sheet,Sheet,*,No Mapping,,*,
Isolation Valve Function,Process Control Function Part,*,PipingIsolatValveFunc_Sample,PipingValveFunc,*,PIP
Isometric Drawing Extraction Graphics,Generic Graphic  Object,*,No Mapping,,*,
Isometric Drawing Extraction Graphics,None,*,No Mapping,,*,
Isometric drawing symbol graphics representation,Grouping Graphic,*,No Mapping,,*,
Isometric Workset,Extracted Document Workset,*,No Mapping,,*,
J7REFLEV,Reference Plane,*,No Mapping,,*,
Join Connection,Mechnical Connection,*,No Mapping,,*,
Joint,Fittings,*,PipingCoupling,PipingFitting,*,PIP
Lateral,Branches,*,PipingLateral,PipingBranch,*,PIP
Lateral,Branches,Center to Branch##1,No Mapping,,,
Lateral,Branches,Center to Branch##2,No Mapping,,,
Lateral,Branches,Center to Branch##3,No Mapping,,,
Lateral,Branches,Center to Branch##4,No Mapping,,,
Lateral,Branches,Center to Face##1,No Mapping,,,
Lateral,Branches,Center to Face##2,No Mapping,,,
Lateral,Branches,Center to Face##3,No Mapping,,,
Lateral,Branches,Center to Face##4,No Mapping,,,
Lateral,Branches,End Diameter##1,No Mapping,,,
Lateral,Branches,End Diameter##2,No Mapping,,,
Lateral,Branches,End Diameter##3,No Mapping,,,
Lateral,Branches,End Diameter##4,No Mapping,,,
Lateral,Branches,End Offset##1,No Mapping,,,
Lateral,Branches,End Offset##2,No Mapping,,,
Lateral,Branches,End Offset##3,No Mapping,,,
Lateral,Branches,End Offset##4,No Mapping,,,
Lateral,Branches,End Thickness##1,No Mapping,,,
Lateral,Branches,End Thickness##2,No Mapping,,,
Lateral,Branches,End Thickness##3,No Mapping,,,
Lateral,Branches,End Thickness##4,No Mapping,,,
Lateral,Branches,Face to Face##1,No Mapping,,,
Lateral,Branches,Face to Face##2,No Mapping,,,
Lateral,Branches,Face to Face##3,No Mapping,,,
Lateral,Branches,Face to Face##4,No Mapping,,,
Lateral,Branches,Nominal Size##1,PipingPart,Physical_Product,NominalSize,PIP
Lateral,Branches,Nominal Size##2,PipingPart,Physical_Product,NominalSize2,PIP
Lateral,Branches,Nominal Size##3,PipingPart,Physical_Product,NominalSize3,PIP
Lateral,Branches,Nominal Size##4,PipingPart,Physical_Product,NominalSize4,PIP
Lateral,Branches,OD1##1,PipingPart,Physical_Product,OutsideDiameter,PIP
Lateral,Branches,OD1##2,PipingPart,Physical_Product,OutsideDiameter2,PIP
Lateral,Branches,OD1##3,PipingPart,Physical_Product,OutsideDiameter3,PIP
Lateral,Branches,OD1##4,PipingPart,Physical_Product,OutsideDiameter4,PIP
Lateral,Branches,OD2##1,No Mapping,,,
Lateral,Branches,OD2##2,No Mapping,,,
Lateral,Branches,OD2##3,No Mapping,,,
Lateral,Branches,OD2##4,No Mapping,,,
Lateral Olet,Branches,*,PipingLateralOlet,PipingBranch,*,PIP
Lateral Olet,Branches,Center to Branch##1,No Mapping,,,
Lateral Olet,Branches,Center to Branch##2,No Mapping,,,
Lateral Olet,Branches,Center to Branch##3,No Mapping,,,
Lateral Olet,Branches,Center to Branch##4,No Mapping,,,
Lateral Olet,Branches,Center to Face##1,No Mapping,,,
Lateral Olet,Branches,Center to Face##2,No Mapping,,,
Lateral Olet,Branches,Center to Face##3,No Mapping,,,
Lateral Olet,Branches,Center to Face##4,No Mapping,,,
Lateral Olet,Branches,End Diameter##1,No Mapping,,,
Lateral Olet,Branches,End Diameter##2,No Mapping,,,
Lateral Olet,Branches,End Diameter##3,No Mapping,,,
Lateral Olet,Branches,End Diameter##4,No Mapping,,,
Lateral Olet,Branches,End Offset##1,No Mapping,,,
Lateral Olet,Branches,End Offset##2,No Mapping,,,
Lateral Olet,Branches,End Offset##3,No Mapping,,,
Lateral Olet,Branches,End Offset##4,No Mapping,,,
Lateral Olet,Branches,End Thickness##1,No Mapping,,,
Lateral Olet,Branches,End Thickness##2,No Mapping,,,
Lateral Olet,Branches,End Thickness##3,No Mapping,,,
Lateral Olet,Branches,End Thickness##4,No Mapping,,,
Lateral Olet,Branches,Face to Face##1,No Mapping,,,
Lateral Olet,Branches,Face to Face##2,No Mapping,,,
Lateral Olet,Branches,Face to Face##3,No Mapping,,,
Lateral Olet,Branches,Face to Face##4,No Mapping,,,
Lateral Olet,Branches,Nominal Size##1,PipingPart,Physical_Product,NominalSize,PIP
Lateral Olet,Branches,Nominal Size##2,PipingPart,Physical_Product,NominalSize2,PIP
Lateral Olet,Branches,Nominal Size##3,PipingPart,Physical_Product,NominalSize3,PIP
Lateral Olet,Branches,Nominal Size##4,PipingPart,Physical_Product,NominalSize4,PIP
Lateral Olet,Branches,OD1##1,PipingPart,Physical_Product,OutsideDiameter,PIP
Lateral Olet,Branches,OD1##2,PipingPart,Physical_Product,OutsideDiameter2,PIP
Lateral Olet,Branches,OD1##3,PipingPart,Physical_Product,OutsideDiameter3,PIP
Lateral Olet,Branches,OD1##4,PipingPart,Physical_Product,OutsideDiameter4,PIP
Lateral Olet,Branches,OD2##1,No Mapping,,,
Lateral Olet,Branches,OD2##2,No Mapping,,,
Lateral Olet,Branches,OD2##3,No Mapping,,,
Lateral Olet,Branches,OD2##4,No Mapping,,,
Layout Graphic,Physical Graphic,*,No Mapping,,*,
Left Hand Diverge Switch,Switch,*,No Mapping,,*,
Left Hand Merge Switch,Switch,*,No Mapping,,*,
Left Hand Positioner,Positioner,*,No Mapping,,*,
Left Hand Stop,Stop,*,No Mapping,,*,
Left Hand Stop Module,Stop,*,No Mapping,,*,
Left Hand Transfer,Transfer,*,No Mapping,,*,
Limit,Generic Segment  Object,*,No Mapping,,*,
Limit Boundary Connection,Master-Slave Connection,*,No Mapping,,*,
Limit Switch,Conveyor Part,*,No Mapping,,*,
Linear Pair Connection,Connector Pairing Connection,*,No Mapping,,*,
Lineic Support,Reference Plane,*,No Mapping,,*,
Line-String,Functional String,*,No Mapping,,*,
Line-String Connector,Logical Connector,*,No Mapping,,*,
Line-String Graphic,Generic Graphic  Object,*,No Mapping,,*,
Location Datum Connector,Datum Connector,*,No Mapping,,*,
Location Datum Connector,Datum Connector,*,No Mapping,,*,
Location Orien. + Ref. Connection,Location Reference Connection,*,No Mapping,,*,
Location Orientation Connection,Master-Slave Connection,*,No Mapping,,*,
Location Position Connection,Master-Slave Connection,*,No Mapping,,*,
Location Reference Connection,Master-Slave Connection,*,No Mapping,,*,
Logical Connection,Generic Connectn Object,*,No Mapping,,*,
Logical Connector,Generic Connectr Object,*,No Mapping,,*,
Logical Line,Generic Group    Object,*,No Mapping,,*,
Logical Part,Generic Part     Object,*,No Mapping,,*,
Logical Part Graphic,Symbolic Part Graphic,*,No Mapping,,*,
LONG,J7REFLEV,*,No Mapping,,*,
Lower Vertical Curve,Vertical Curve,*,No Mapping,,*,
Machine,Static Equipment Component,*,EquipMachine,EquipMechanical,*,EQT
Machine,Static Equipment Component,Input Type,No Mapping,,,
Machine,Static Equipment Component,Output Type,No Mapping,,,
Manual Actuator,Valve Operator,*,PipingManualActuator,PipingValveOperator,*,PIP
Manway Nozzle,Nozzle,*,EquipManway,EquipNozzle,*,EQT
Master Connector,Constraint Connector,*,No Mapping,,,
Master-Slave Connection,Constraint Connection,*,No Mapping,,,
Material Handler,Static Equipment Component,*,EquipMaterialHandler,Equipment,*,EQT
Material Handler Function,Equipment Function Part,*,EquipMaterialHndlFunc_Sample,EquipFunc,*,EQT
Material Handler Function,Equipment Function Part,Capacity,EquipMaterialHndlFunc_Sample,EquipFunc,Capacity,EQT
Material Handler Function,Equipment Function Part,Commodity Type,No Mapping,,,
Material Handler Function,Equipment Function Part,Flow Rate,EquipMaterialHndlFunc_Sample,EquipFunc,FlowRate,EQT
Material Handler Function,Equipment Function Part,Pressure,No Mapping,,,
Material Handler Function,Equipment Function Part,Process Description,No Mapping,,,
Material Handler Function,Equipment Function Part,Temperature,No Mapping,,,
Mech Equip Connection,Mechnical Connection,*,No Mapping,,*,
Mech Equip Connector,Mechanical Connector,*,No Mapping,,*,
Mechanical Connector,Physical Connector,*,No Mapping,,*,
Mechanical Equipment Component,Equipment Component (Part),*,EquipMechanical,Equipment,*,EQT
Mechnical Connection,Physical Connection,*,No Mapping,,*,
Member Constraint Geometry,Constraint Graphic,*,No Mapping,,*,
Member Surface Constraint Geometry,Constraint Graphic,*,No Mapping,,*,
Miscellaneous,Piping Part,*,PipingMiscellaneous,PipingPart,*,PIP
Miscellaneous Conveyor Part,Conveyor Part,*,No Mapping,,*,
Miscellaneous Equipment Function,Equipment Function Part,*,EquipMiscFunc_Sample,EquipFunc,*,EQT
Miscellaneous Equipment Function,Equipment Function Part,Process Description,No Mapping,,,
Miscellaneous Instrument Function,Instrument Function Part,*,No Mapping,,*,
Miscellaneous Piping Function,Piping Function Part,*,PipingMiscFunc_Sample,PipingPartFunc,*,PIP
Miscellaneous Valve Function,Process Control Function Part,*,PipingMiscValveFunc_Sample,PipingValveFunc,*,PIP
Miter Segment,Pipe Segment,*,PipingBendablePipe,PipingPipe,*,PIP
Miter Segment,Pipe Segment,Miter diameter multiplier,No Mapping,,,
Miter Segment,Pipe Segment,Miter radius,No Mapping,,,
Miter Segment,Pipe Segment,Number of cuts,No Mapping,,,
Mixer,Dynamic Equipment Component,*,EquipMixer,EquipMixerSeparator,*,EQT
Mixer Function,Equipment Function Part,*,EquipMixerFunc_Sample,EquipFunc,*,EQT
Mixer Function,Equipment Function Part,Capacity,EquipMixerFunc_Sample,EquipFunc,Capacity,EQT
Mixer Function,Equipment Function Part,Commodity Type,No Mapping,,,
Mixer Function,Equipment Function Part,Flow Rate,EquipMixerFunc_Sample,EquipFunc,FlowRate,EQT
Mixer Function,Equipment Function Part,Heat Exchanged,No Mapping,,,
Mixer Function,Equipment Function Part,Pressure,No Mapping,,,
Mixer Function,Equipment Function Part,Process Description,No Mapping,,,
Mixer Function,Equipment Function Part,Temperature,No Mapping,,,
Modification Element Handler,Generic Bag      Object,*,No Mapping,,*,
Motor Actuator,Valve Operator,*,PipingMotorActuator,PipingValveOperator,*,PIP
Multifunction Instrument Function,Instrument Function Part,*,No Mapping,,,
Needle Valve,Valve,*,PipingNeedleValve,PipingValve,*,PIP
Network Connection,Logical Connection,*,No Mapping,,*,
Nipple,Fittings,*,PipingNipple,PipingFitting,*,PIP
Nipple Olet,Branches,*,PipingNippleOlet,PipingBranch,*,PIP
Node,Generic Node     Object,*,No Mapping,,*,
Nozzle,Physical Part,*,EquipPipingNozzle,EquipNozzle,*,EQT
Nozzle,Physical Part,Allowable Nozzle Load (Force),No Mapping,,,
Nozzle,Physical Part,Allowable Nozzle Load (Moment),No Mapping,,,
Nozzle,Physical Part,Element Description##1,No Mapping,,,
Nozzle,Physical Part,Element Description##2,No Mapping,,,
Nozzle,Physical Part,Element Description##3,No Mapping,,,
Nozzle,Physical Part,Element Description##4,No Mapping,,,
Nozzle,Physical Part,End Style,EquipPipingNozzle,EquipNozzle,EndStyle,PIP
Nozzle,Physical Part,Material Category,EquipPipingNozzle,EquipNozzle,MaterialCategory,PIP
Nozzle,Physical Part,Nominal OD,EquipPipingNozzle,EquipNozzle,NominalSize,PIP
Nozzle,Physical Part,Nozzle Description,No Mapping,,,
Nozzle,Physical Part,Nozzle identifier,No Mapping,,,
Nozzle,Physical Part,Nozzle Name,No Mapping,,,
Nozzle,Physical Part,Nozzle Spec Status,No Mapping,,,
Nozzle,Physical Part,Parameter Name,No Mapping,,,
Nozzle,Physical Part,Parameter Value,No Mapping,,,
Nozzle,Physical Part,Pipe Spec,EquipPipingNozzle,EquipNozzle,PipeSpecification,PIP
Nozzle,Physical Part,Rating,EquipPipingNozzle,EquipNozzle,Rating,PIP
Nozzle,Physical Part,Scalar Parameter Value,No Mapping,,,
Nozzle,Physical Part,Schedule,EquipPipingNozzle,EquipNozzle,Schedule,PIP
Nozzle,Physical Part,Standard,EquipPipingNozzle,EquipNozzle,Standard,PIP
Nozzle,Physical Part,Wall Thickness,EquipPipingNozzle,EquipNozzle,WallThickness,PIP
Nozzle Connector,Fluidic Connector,*,No Mapping,,*,
Nozzle Function,Piping Function Part,*,EquipPipingNozzleFunc,EquipNozzleFunc,*,EQT
Oblong Hole,Cutout,*,No Mapping,,*,
Off-Line Drive,Drive,*,No Mapping,,*,
Off-Sheet Connector,On-Off Sheet Connector,*,No Mapping,,*,
Olet,Branches,*,PipingOlet,PipingBranch,*,PIP
Olet,Branches,End Diameter##1,No Mapping,,,
Olet,Branches,End Diameter##2,No Mapping,,,
Olet,Branches,End Diameter##3,No Mapping,,,
Olet,Branches,End Diameter##4,No Mapping,,,
Olet,Branches,End Offset##1,No Mapping,,,
Olet,Branches,End Offset##2,No Mapping,,,
Olet,Branches,End Offset##3,No Mapping,,,
Olet,Branches,End Offset##4,No Mapping,,,
Olet,Branches,End Thickness##1,No Mapping,,,
Olet,Branches,End Thickness##2,No Mapping,,,
Olet,Branches,End Thickness##3,No Mapping,,,
Olet,Branches,End Thickness##4,No Mapping,,,
Olet,Branches,Height 1##1,No Mapping,,,
Olet,Branches,Height 1##2,No Mapping,,,
Olet,Branches,Height 1##3,No Mapping,,,
Olet,Branches,Height 1##4,No Mapping,,,
Olet,Branches,Height 2##1,No Mapping,,,
Olet,Branches,Height 2##2,No Mapping,,,
Olet,Branches,Height 2##3,No Mapping,,,
Olet,Branches,Height 2##4,No Mapping,,,
Olet,Branches,Nominal Size##1,PipingPart,Physical_Product,NominalSize,PIP
Olet,Branches,Nominal Size##2,PipingPart,Physical_Product,NominalSize2,PIP
Olet,Branches,Nominal Size##3,PipingPart,Physical_Product,NominalSize3,PIP
Olet,Branches,Nominal Size##4,PipingPart,Physical_Product,NominalSize4,PIP
Olet,Branches,OD1##1,PipingPart,Physical_Product,OutsideDiameter,PIP
Olet,Branches,OD1##2,PipingPart,Physical_Product,OutsideDiameter2,PIP
Olet,Branches,OD1##3,PipingPart,Physical_Product,OutsideDiameter3,PIP
Olet,Branches,OD1##4,PipingPart,Physical_Product,OutsideDiameter4,PIP
On-Off Sheet Connector,Logical Part,*,No Mapping,,*,
On-Off-Sheet Connector,Logical Connector,*,No Mapping,,*,
On-Sheet Connector,On-Off Sheet Connector,*,No Mapping,,*,
Orifice,In-line Instrument,*,PipingOrifice,PipingInLineInstrt,*,PIP
Orifice Flange,Flanges,*,PipingOrificeFlange,PipingFlange,*,PIP
Orifice Plate,Miscellaneous,*,PipingOrificePlate,PipingMiscellaneous,*,PIP
P&ID Sheet,Sheet,*,No Mapping,,*,
P&ID Sheet,Sheet,X Distance per Grid,No Mapping,,,
P&ID Sheet,Sheet,X Labels,No Mapping,,,
P&ID Sheet,Sheet,X Origin,No Mapping,,,
P&ID Sheet,Sheet,Y Distance per Grid,No Mapping,,,
P&ID Sheet,Sheet,Y Labels,No Mapping,,,
P&ID Sheet,Sheet,Y Origin,No Mapping,,,
P&ID Specific Part Graphic,Symbolic Part Graphic,*,No Mapping,,*,
Panel Aux-No Access,P&ID Specific Part Graphic,*,No Mapping,,*,
Panel Main-No Access,P&ID Specific Part Graphic,*,No Mapping,,*,
